date,customer_segment,acquisition_channel,new_customers,signups,returning_customers,repeat_purchase_rate,cart_abandon_rate,coupon_redemption_count
2025-06-15,신규 탐색,Meta,0,0,0,0.123,0.356,0
2025-06-15,신규 탐색,Google,0,0,0,0.1472,0.3106,0
2025-06-15,신규 탐색,Naver,4,4,0,0.1776,0.3223,0
2025-06-15,신규 탐색,Instagram,0,0,0,0.108,0.2858,0
2025-06-15,가격 민감,Meta,1,1,0,0.1474,0.372,0
2025-06-15,가격 민감,Google,0,0,0,0.1553,0.3916,0
2025-06-15,가격 민감,Naver,0,0,0,0.2032,0.4147,0
2025-06-15,가격 민감,Instagram,0,0,0,0.2162,0.3655,0
2025-06-15,재구매 후보,Meta,0,0,0,0.3552,0.2284,0
2025-06-15,재구매 후보,Google,3,3,0,0.4049,0.2236,0
2025-06-15,재구매 후보,Naver,0,0,0,0.3346,0.2679,0
2025-06-15,재구매 후보,Instagram,0,0,0,0.3237,0.2271,0
2025-06-15,VIP,Meta,0,0,0,0.5652,0.1666,0
2025-06-15,VIP,Google,1,1,0,0.5156,0.1563,0
2025-06-15,VIP,Naver,1,1,2,0.5584,0.1501,0
2025-06-15,VIP,Instagram,3,3,2,0.5131,0.1543,0
2025-06-15,휴면 복귀,Meta,0,0,0,0.2326,0.3026,0
2025-06-15,휴면 복귀,Google,1,1,0,0.1739,0.2832,0
2025-06-15,휴면 복귀,Naver,0,0,0,0.275,0.424,0
2025-06-15,휴면 복귀,Instagram,3,3,0,0.2545,0.3849,0
2025-06-16,신규 탐색,Meta,0,0,0,0.1617,0.315,0
2025-06-16,신규 탐색,Google,6,6,4,0.1468,0.3095,0
2025-06-16,신규 탐색,Naver,3,3,2,0.1564,0.3052,0
2025-06-16,신규 탐색,Instagram,2,2,1,0.0823,0.2732,0
2025-06-16,가격 민감,Meta,3,3,0,0.1497,0.3932,1
2025-06-16,가격 민감,Google,1,1,0,0.1865,0.3646,0
2025-06-16,가격 민감,Naver,0,0,0,0.2162,0.395,0
2025-06-16,가격 민감,Instagram,0,0,1,0.195,0.3895,0
2025-06-16,재구매 후보,Meta,0,0,0,0.3206,0.1783,0
2025-06-16,재구매 후보,Google,2,2,0,0.382,0.2403,0
2025-06-16,재구매 후보,Naver,4,4,4,0.3102,0.2549,0
2025-06-16,재구매 후보,Instagram,2,2,3,0.3748,0.2722,0
2025-06-16,VIP,Meta,2,2,1,0.5009,0.1869,0
2025-06-16,VIP,Google,0,0,0,0.5564,0.1551,0
2025-06-16,VIP,Naver,0,0,2,0.547,0.1447,0
2025-06-16,VIP,Instagram,2,2,3,0.5053,0.1733,1
2025-06-16,휴면 복귀,Meta,3,3,1,0.2408,0.3797,1
2025-06-16,휴면 복귀,Google,3,3,1,0.2424,0.336,0
