week_start,product_id,product_name,category,rating,review_count,repeat_purchase_rate,returning_customer_orders,sales_quantity
2025-06-16,1,감성 무드등,조명,4.48,4,0.3289,12,50
2025-06-16,2,메모리폼 경추 베개,침실,4.51,2,0.407,10,39
2025-06-16,3,원목 핸들 머그컵,주방,4.27,3,0.2318,12,65
2025-06-16,4,무광 세라믹 접시 세트,주방,3.64,3,0.1067,5,56
2025-06-16,5,북유럽 패브릭 포스터,인테리어,4.5,4,0.2752,5,32
2025-06-16,6,대용량 디퓨저,생활,4.6,2,0.3725,21,65
2025-06-16,7,아로마 캔들 세트,생활,3.82,1,0.172,7,53
2025-06-16,8,무선 미니 가습기,가전,3.93,3,0.1883,5,39
2025-06-16,9,탁상용 저소음 선풍기,가전,4.14,3,0.186,12,74
2025-06-16,10,프리미엄 호텔 침구 세트,침실,4.82,2,0.3208,9,37
2025-06-23,1,감성 무드등,조명,4.43,7,0.3361,13,50
2025-06-23,2,메모리폼 경추 베개,침실,4.49,7,0.3815,13,42
2025-06-23,3,원목 핸들 머그컵,주방,4.12,15,0.1948,9,59
2025-06-23,4,무광 세라믹 접시 세트,주방,3.55,8,0.1088,4,55
2025-06-23,5,북유럽 패브릭 포스터,인테리어,4.52,8,0.2512,6,38
2025-06-23,6,대용량 디퓨저,생활,4.53,11,0.3568,15,53
2025-06-23,7,아로마 캔들 세트,생활,3.87,7,0.2216,10,54
2025-06-23,8,무선 미니 가습기,가전,3.96,10,0.2166,5,37
2025-06-23,9,탁상용 저소음 선풍기,가전,4.09,19,0.2158,13,78
2025-06-23,10,프리미엄 호텔 침구 세트,침실,4.6,8,0.3585,7,35
2025-06-30,1,감성 무드등,조명,4.38,11,0.3624,13,48
2025-06-30,2,메모리폼 경추 베개,침실,4.48,8,0.4144,14,43
2025-06-30,3,원목 핸들 머그컵,주방,3.96,19,0.1886,9,66
2025-06-30,4,무광 세라믹 접시 세트,주방,3.69,11,0.1499,7,54
2025-06-30,5,북유럽 패브릭 포스터,인테리어,4.36,11,0.3053,7,37
2025-06-30,6,대용량 디퓨저,생활,4.5,18,0.3455,14,55
2025-06-30,7,아로마 캔들 세트,생활,3.89,10,0.205,10,56
2025-06-30,8,무선 미니 가습기,가전,3.94,13,0.2312,6,41
2025-06-30,9,탁상용 저소음 선풍기,가전,4.04,26,0.1717,14,92
2025-06-30,10,프리미엄 호텔 침구 세트,침실,4.28,9,0.3179,9,38
2025-07-07,1,감성 무드등,조명,4.33,14,0.3148,13,48
2025-07-07,2,메모리폼 경추 베개,침실,4.44,7,0.3633,11,42
2025-07-07,3,원목 핸들 머그컵,주방,4.08,14,0.2323,12,59
2025-07-07,4,무광 세라믹 접시 세트,주방,3.82,12,0.1128,4,51
2025-07-07,5,북유럽 패브릭 포스터,인테리어,4.12,13,0.2162,5,35
2025-07-07,6,대용량 디퓨저,생활,4.44,12,0.3052,15,58
2025-07-07,7,아로마 캔들 세트,생활,3.92,8,0.1682,6,50
2025-07-07,8,무선 미니 가습기,가전,4.12,12,0.2788,6,32
2025-07-07,9,탁상용 저소음 선풍기,가전,3.95,20,0.1876,15,92
2025-07-07,10,프리미엄 호텔 침구 세트,침실,4.14,7,0.332,8,39
2025-07-14,1,감성 무드등,조명,4.34,15,0.2843,9,46
2025-07-14,2,메모리폼 경추 베개,침실,4.54,12,0.41,14,43
2025-07-14,3,원목 핸들 머그컵,주방,4.31,16,0.2071,11,62
2025-07-14,4,무광 세라믹 접시 세트,주방,3.57,17,0.1358,5,51
2025-07-14,5,북유럽 패브릭 포스터,인테리어,4.3,16,0.2431,4,28
2025-07-14,6,대용량 디퓨저,생활,4.45,11,0.331,14,56
2025-07-14,7,아로마 캔들 세트,생활,3.96,10,0.165,6,49
2025-07-14,8,무선 미니 가습기,가전,4.27,10,0.2664,7,43
2025-07-14,9,탁상용 저소음 선풍기,가전,3.97,17,0.2378,16,87
2025-07-14,10,프리미엄 호텔 침구 세트,침실,4.09,9,0.2695,7,35
2025-07-21,1,감성 무드등,조명,4.55,16,0.3425,13,47
2025-07-21,2,메모리폼 경추 베개,침실,4.62,11,0.3482,12,43
2025-07-21,3,원목 핸들 머그컵,주방,4.32,15,0.2126,10,58
2025-07-21,4,무광 세라믹 접시 세트,주방,3.7,15,0.1804,9,63
2025-07-21,5,북유럽 패브릭 포스터,인테리어,4.58,18,0.2635,5,35
2025-07-21,6,대용량 디퓨저,생활,4.4,15,0.3063,14,57
2025-07-21,7,아로마 캔들 세트,생활,3.87,14,0.1491,7,58
2025-07-21,8,무선 미니 가습기,가전,4.19,9,0.2824,8,38
2025-07-21,9,탁상용 저소음 선풍기,가전,3.95,17,0.2108,15,85
2025-07-21,10,프리미엄 호텔 침구 세트,침실,4.14,12,0.3148,10,43
2025-07-28,1,감성 무드등,조명,4.63,12,0.3561,12,44
2025-07-28,2,메모리폼 경추 베개,침실,4.58,4,0.3721,11,44
2025-07-28,3,원목 핸들 머그컵,주방,4.21,12,0.2206,11,63
2025-07-28,4,무광 세라믹 접시 세트,주방,3.85,14,0.1096,4,52
2025-07-28,5,북유럽 패브릭 포스터,인테리어,4.41,10,0.3108,9,37
2025-07-28,6,대용량 디퓨저,생활,4.45,16,0.3594,16,55
2025-07-28,7,아로마 캔들 세트,생활,3.8,17,0.1609,7,59
