date,channel,campaign,campaign_active,brand_search_volume,ad_spend,clicks
2025-06-15,Meta,브랜드 퍼포먼스,1,569,23182.46,214
2025-06-15,Meta,쿠폰 리커버리,1,419,8560.28,87
2025-06-15,Google,검색 수요 포착,1,781,28298.25,384
2025-06-15,Google,쿠폰 리커버리,1,522,14504.09,154
2025-06-15,Naver,검색 수요 포착,1,612,8453.28,110
2025-06-15,Naver,브랜드 퍼포먼스,1,441,11910.02,89
2025-06-15,Naver,쿠폰 리커버리,1,565,15299.69,164
2025-06-15,Instagram,브랜드 퍼포먼스,1,521,26525.51,241
2025-06-16,Meta,브랜드 퍼포먼스,1,447,13630.24,119
2025-06-16,Meta,쿠폰 리커버리,1,451,5338.3,55
2025-06-16,Google,검색 수요 포착,1,599,7786.86,93
2025-06-16,Google,쿠폰 리커버리,1,594,19366.04,197
2025-06-16,Naver,검색 수요 포착,1,542,7935.46,100
2025-06-16,Naver,브랜드 퍼포먼스,1,302,2109.76,8
2025-06-16,Naver,쿠폰 리커버리,1,564,13759.96,139
2025-06-16,Instagram,브랜드 퍼포먼스,1,509,16391.81,139
2025-06-17,Meta,브랜드 퍼포먼스,1,422,5739.99,52
2025-06-17,Meta,쿠폰 리커버리,1,566,19031.13,189
2025-06-17,Google,검색 수요 포착,1,685,20774.3,251
2025-06-17,Google,쿠폰 리커버리,1,552,11638.54,114
2025-06-17,Naver,검색 수요 포착,1,483,3852.45,56
2025-06-17,Naver,브랜드 퍼포먼스,1,425,16093.1,131
2025-06-17,Naver,쿠폰 리커버리,1,483,8383.87,94
2025-06-17,Instagram,브랜드 퍼포먼스,1,583,19816.9,215
2025-06-18,Meta,브랜드 퍼포먼스,1,390,18978.98,175
2025-06-18,Meta,쿠폰 리커버리,1,475,8803.85,81
2025-06-18,Google,검색 수요 포착,1,684,32911.64,418
2025-06-18,Google,쿠폰 리커버리,1,584,7667.04,88
2025-06-18,Naver,검색 수요 포착,1,704,12634.97,165
2025-06-18,Naver,브랜드 퍼포먼스,1,358,9180.41,93
2025-06-18,Naver,쿠폰 리커버리,1,543,13709.25,149
2025-06-18,Instagram,브랜드 퍼포먼스,1,508,24373.62,222
2025-06-19,Meta,브랜드 퍼포먼스,1,415,16306.62,155
2025-06-19,Meta,쿠폰 리커버리,1,552,10394.76,120
2025-06-19,Google,검색 수요 포착,1,825,34558.39,435
2025-06-19,Google,쿠폰 리커버리,1,425,2680.2,32
2025-06-19,Naver,검색 수요 포착,1,578,10408.78,146
2025-06-19,Naver,브랜드 퍼포먼스,1,373,3786.36,25
2025-06-19,Naver,쿠폰 리커버리,1,609,18916.06,215
2025-06-19,Instagram,브랜드 퍼포먼스,1,494,22105.99,219
2025-06-20,Meta,브랜드 퍼포먼스,1,556,25040.54,176
2025-06-20,Meta,쿠폰 리커버리,1,400,6992.26,80
2025-06-20,Google,검색 수요 포착,1,679,22560.57,286
2025-06-20,Google,쿠폰 리커버리,1,554,18573.61,189
2025-06-20,Naver,검색 수요 포착,1,570,6735.79,97
2025-06-20,Naver,브랜드 퍼포먼스,1,429,11692.39,102
2025-06-20,Naver,쿠폰 리커버리,1,566,16956.62,182
2025-06-20,Instagram,브랜드 퍼포먼스,1,482,26373.71,287
2025-06-21,Meta,브랜드 퍼포먼스,1,491,30833.34,269
2025-06-21,Meta,쿠폰 리커버리,1,398,3398.33,39
2025-06-21,Google,검색 수요 포착,1,854,36431.59,421
2025-06-21,Google,쿠폰 리커버리,1,481,11212.06,125
2025-06-21,Naver,검색 수요 포착,1,630,10927.72,155
2025-06-21,Naver,브랜드 퍼포먼스,1,464,11993.07,107
2025-06-21,Naver,쿠폰 리커버리,1,563,17545.72,182
2025-06-21,Instagram,브랜드 퍼포먼스,1,543,26296.04,229
2025-06-22,Meta,브랜드 퍼포먼스,1,527,25201.9,194
2025-06-22,Meta,쿠폰 리커버리,1,441,3279.23,36
2025-06-22,Google,검색 수요 포착,1,767,30968.42,355
2025-06-22,Google,쿠폰 리커버리,1,521,8826.22,76
2025-06-22,Naver,검색 수요 포착,1,522,8379.05,119
2025-06-22,Naver,브랜드 퍼포먼스,1,393,13226.53,114
2025-06-22,Naver,쿠폰 리커버리,1,579,11134.71,99
2025-06-22,Instagram,브랜드 퍼포먼스,1,547,23746.5,186
2025-06-23,Meta,브랜드 퍼포먼스,1,454,20355.78,175
2025-06-23,Meta,쿠폰 리커버리,1,416,2002.33,20
2025-06-23,Google,검색 수요 포착,1,761,28473.85,368
2025-06-23,Google,쿠폰 리커버리,1,493,1787.17,16
2025-06-23,Naver,검색 수요 포착,1,622,11090.15,139
2025-06-23,Naver,브랜드 퍼포먼스,1,368,6230.65,51
2025-06-23,Naver,쿠폰 리커버리,1,426,11020.36,122
2025-06-23,Instagram,브랜드 퍼포먼스,1,402,19334.79,212
2025-06-24,Meta,브랜드 퍼포먼스,1,539,23541.64,189
2025-06-24,Meta,쿠폰 리커버리,1,379,3494.1,38
2025-06-24,Google,검색 수요 포착,1,608,19498.67,235
2025-06-24,Google,쿠폰 리커버리,1,564,15222.33,136
2025-06-24,Naver,검색 수요 포착,1,698,14973.77,209
2025-06-24,Naver,브랜드 퍼포먼스,1,382,11496.37,97
2025-06-24,Naver,쿠폰 리커버리,1,408,4031.1,45
2025-06-24,Instagram,브랜드 퍼포먼스,1,450,22298.49,190
2025-06-25,Meta,브랜드 퍼포먼스,1,411,14295.78,135
2025-06-25,Meta,쿠폰 리커버리,1,499,10793.62,116
2025-06-25,Google,검색 수요 포착,1,756,27894.03,330
2025-06-25,Google,쿠폰 리커버리,1,494,7178.33,86
2025-06-25,Naver,검색 수요 포착,1,613,12148.1,157
2025-06-25,Naver,브랜드 퍼포먼스,1,451,8117.71,61
2025-06-25,Naver,쿠폰 리커버리,1,532,9481.13,110
2025-06-25,Instagram,브랜드 퍼포먼스,1,570,21992.75,197
2025-06-26,Meta,브랜드 퍼포먼스,1,540,19338.89,150
2025-06-26,Meta,쿠폰 리커버리,1,501,9982.32,103
2025-06-26,Google,검색 수요 포착,1,727,26954.38,318
2025-06-26,Google,쿠폰 리커버리,1,422,12982.42,131
2025-06-26,Naver,검색 수요 포착,1,772,27303.15,352
2025-06-26,Naver,브랜드 퍼포먼스,1,442,5582.57,46
2025-06-26,Instagram,브랜드 퍼포먼스,1,509,24257.92,228
2025-06-27,Meta,브랜드 퍼포먼스,1,494,24984.5,241
2025-06-27,Meta,쿠폰 리커버리,1,360,3499.61,26
2025-06-27,Google,검색 수요 포착,1,688,23225.95,270
2025-06-27,Google,쿠폰 리커버리,1,473,14876.94,154
2025-06-27,Naver,검색 수요 포착,1,684,13103.97,176
2025-06-27,Naver,브랜드 퍼포먼스,1,477,16064.54,113
2025-06-27,Naver,쿠폰 리커버리,1,374,4079.32,27
2025-06-27,Instagram,브랜드 퍼포먼스,1,488,23837.41,217
2025-06-28,Meta,브랜드 퍼포먼스,1,585,29188.12,239
