date,channel,campaign,ad_spend,clicks,conversions,ROAS
2025-06-15,Google,Google 통합 캠페인,42802.340000000004,538,33,3061.73
2025-06-15,Instagram,Instagram 통합 캠페인,26525.51,241,22,3433.03
2025-06-15,Meta,Meta 통합 캠페인,31742.739999999998,301,16,1896.85
2025-06-15,Naver,Naver 통합 캠페인,35662.99,363,31,3513.8
2025-06-16,Google,Google 통합 캠페인,27152.9,290,23,2875.85
2025-06-16,Instagram,Instagram 통합 캠페인,16391.81,139,10,2019.8
2025-06-16,Meta,Meta 통합 캠페인,18968.54,174,10,1554.89
2025-06-16,Naver,Naver 통합 캠페인,23805.18,247,13,1590.31
2025-06-17,Google,Google 통합 캠페인,32412.84,365,32,3643.31
2025-06-17,Instagram,Instagram 통합 캠페인,19816.9,215,21,3737.6
2025-06-17,Meta,Meta 통합 캠페인,24771.12,241,22,2857.85
2025-06-17,Naver,Naver 통합 캠페인,28329.420000000002,281,18,2009.46
2025-06-18,Google,Google 통합 캠페인,40578.68,506,44,4198.63
2025-06-18,Instagram,Instagram 통합 캠페인,24373.62,222,13,1816.48
2025-06-18,Meta,Meta 통합 캠페인,27782.829999999998,256,15,2455.78
2025-06-18,Naver,Naver 통합 캠페인,35524.630000000005,407,20,1892.9
2025-06-19,Google,Google 통합 캠페인,37238.590000000004,467,40,4300.21
2025-06-19,Instagram,Instagram 통합 캠페인,22105.99,219,13,2187.83
2025-06-19,Meta,Meta 통합 캠페인,26701.38,275,21,3142.86
2025-06-19,Naver,Naver 통합 캠페인,33111.2,386,26,2448.09
2025-06-20,Google,Google 통합 캠페인,41134.18,475,41,3797.54
2025-06-20,Instagram,Instagram 통합 캠페인,26373.71,287,16,2077.58
2025-06-20,Meta,Meta 통합 캠페인,32032.800000000003,256,15,1420.73
2025-06-20,Naver,Naver 통합 캠페인,35384.8,381,36,3592.1
2025-06-21,Google,Google 통합 캠페인,47643.65,546,42,3339.08
2025-06-21,Instagram,Instagram 통합 캠페인,26296.04,229,8,1148.05
2025-06-21,Meta,Meta 통합 캠페인,34231.67,308,19,1900.02
2025-06-21,Naver,Naver 통합 캠페인,40466.51,444,48,4350.04
2025-06-22,Google,Google 통합 캠페인,39794.64,431,39,3718.76
2025-06-22,Instagram,Instagram 통합 캠페인,23746.5,186,16,2394.54
2025-06-22,Meta,Meta 통합 캠페인,28481.13,230,16,2015.23
2025-06-22,Naver,Naver 통합 캠페인,32740.29,332,21,2833.28
2025-06-23,Google,Google 통합 캠페인,30261.019999999997,384,19,2546.15
2025-06-23,Instagram,Instagram 통합 캠페인,19334.79,212,13,2059.07
2025-06-23,Meta,Meta 통합 캠페인,22358.11,195,13,2186.76
2025-06-23,Naver,Naver 통합 캠페인,28341.16,312,41,5070.8
2025-06-24,Google,Google 통합 캠페인,34721.0,371,20,2287.07
2025-06-24,Instagram,Instagram 통합 캠페인,22298.49,190,12,1894.92
2025-06-24,Meta,Meta 통합 캠페인,27035.739999999998,227,21,2994.31
2025-06-24,Naver,Naver 통합 캠페인,30501.239999999998,351,25,2854.86
2025-06-25,Google,Google 통합 캠페인,35072.36,416,35,3361.72
2025-06-25,Instagram,Instagram 통합 캠페인,21992.75,197,9,1814.63
2025-06-25,Meta,Meta 통합 캠페인,25089.4,251,15,2043.12
2025-06-25,Naver,Naver 통합 캠페인,29746.940000000002,328,21,2528.41
2025-06-26,Google,Google 통합 캠페인,39936.8,449,41,4307.52
2025-06-26,Instagram,Instagram 통합 캠페인,24257.92,228,18,2582.66
