
date,product_id,product_name,rating,review_count,inquiry_count,refund_count
2026-03-17,1,감성 무드등,3.91,7,4,0
2026-03-24,1,감성 무드등,4.49,6,2,2
2026-03-31,1,감성 무드등,3.7,5,1,1
2026-04-07,1,감성 무드등,4.22,5,1,1
2026-04-14,1,감성 무드등,3.91,3,3,0
2026-04-21,1,감성 무드등,3.66,5,1,0
2026-04-28,1,감성 무드등,4.12,3,1,0
2026-05-05,1,감성 무드등,3.55,3,1,0
2026-05-12,1,감성 무드등,3.6,4,3,0
2026-05-19,1,감성 무드등,4.65,5,3,1
2026-05-26,1,감성 무드등,4.76,2,5,0
2026-06-02,1,감성 무드등,4.72,3,3,0
2026-06-09,1,감성 무드등,4.74,1,1,0
2026-03-17,2,메모리폼 경추 베개,4.31,3,2,0
2026-03-24,2,메모리폼 경추 베개,4.16,8,4,2
2026-03-31,2,메모리폼 경추 베개,4.99,5,1,0
2026-04-07,2,메모리폼 경추 베개,4.91,3,1,0
2026-04-14,2,메모리폼 경추 베개,4.58,5,1,0
2026-04-21,2,메모리폼 경추 베개,3.93,6,6,1
2026-04-28,2,메모리폼 경추 베개,4.65,7,3,0
2026-05-05,2,메모리폼 경추 베개,4.1,3,1,0
2026-05-12,2,메모리폼 경추 베개,3.51,7,0,0
2026-05-19,2,메모리폼 경추 베개,4.81,3,1,1
2026-05-26,2,메모리폼 경추 베개,3.51,3,1,1
2026-06-02,2,메모리폼 경추 베개,4.13,5,2,1
2026-06-09,2,메모리폼 경추 베개,3.92,4,2,0
2026-03-17,3,원목 핸들 머그컵,4.01,9,3,1
2026-03-24,3,원목 핸들 머그컵,4.65,8,3,0
2026-03-31,3,원목 핸들 머그컵,4.47,5,1,0
2026-04-07,3,원목 핸들 머그컵,3.81,3,1,0
2026-04-14,3,원목 핸들 머그컵,4.62,7,0,2
2026-04-21,3,원목 핸들 머그컵,4.93,5,2,0
2026-04-28,3,원목 핸들 머그컵,4.75,5,1,0
2026-05-05,3,원목 핸들 머그컵,4.57,8,0,0
2026-05-12,3,원목 핸들 머그컵,3.51,4,4,1
2026-05-19,3,원목 핸들 머그컵,3.63,4,1,1
2026-05-26,3,원목 핸들 머그컵,3.86,7,2,0
2026-06-02,3,원목 핸들 머그컵,4.55,3,1,0
2026-06-09,3,원목 핸들 머그컵,4.53,8,1,1
2026-03-17,4,무광 세라믹 접시 세트,4.78,11,2,0
2026-03-24,4,무광 세라믹 접시 세트,4.1,3,2,0
2026-03-31,4,무광 세라믹 접시 세트,4.36,4,7,0
2026-04-07,4,무광 세라믹 접시 세트,4.8,5,1,1
2026-04-14,4,무광 세라믹 접시 세트,3.7,6,3,1
2026-04-21,4,무광 세라믹 접시 세트,3.9,4,2,1
2026-04-28,4,무광 세라믹 접시 세트,4.12,1,3,0
2026-05-05,4,무광 세라믹 접시 세트,4.7,4,3,0
2026-05-12,4,무광 세라믹 접시 세트,3.64,6,1,0
2026-05-19,4,무광 세라믹 접시 세트,3.75,6,4,0
2026-05-26,4,무광 세라믹 접시 세트,4.38,5,1,0
2026-06-02,4,무광 세라믹 접시 세트,4.58,6,3,0
2026-06-09,4,무광 세라믹 접시 세트,4.37,4,4,0
2026-03-17,5,북유럽 패브릭 포스터,4.82,3,1,0
2026-03-24,5,북유럽 패브릭 포스터,4.17,5,5,0
2026-03-31,5,북유럽 패브릭 포스터,3.62,9,4,0
2026-04-07,5,북유럽 패브릭 포스터,4.82,8,1,2
2026-04-14,5,북유럽 패브릭 포스터,3.63,4,6,0
2026-04-21,5,북유럽 패브릭 포스터,4.07,5,3,0
2026-04-28,5,북유럽 패브릭 포스터,4.16,3,0,0
2026-05-05,5,북유럽 패브릭 포스터,4.77,5,1,1
2026-05-12,5,북유럽 패브릭 포스터,3.63,6,1,0
2026-05-19,5,북유럽 패브릭 포스터,3.9,3,0,0
2026-05-26,5,북유럽 패브릭 포스터,4.69,3,1,0
2026-06-02,5,북유럽 패브릭 포스터,4.73,5,3,0
2026-06-09,5,북유럽 패브릭 포스터,4.03,6,2,0
2026-03-17,6,대용량 디퓨저,3.53,4,3,2
2026-03-24,6,대용량 디퓨저,4.47,5,0,1
2026-03-31,6,대용량 디퓨저,3.86,4,3,1
2026-04-07,6,대용량 디퓨저,4.32,4,2,0
2026-04-14,6,대용량 디퓨저,3.69,4,1,0
2026-04-21,6,대용량 디퓨저,3.95,2,2,1
2026-04-28,6,대용량 디퓨저,4.59,6,1,1
2026-05-05,6,대용량 디퓨저,4.44,2,2,0
2026-05-12,6,대용량 디퓨저,4.24,9,1,0
2026-05-19,6,대용량 디퓨저,4.71,4,0,1
2026-05-26,6,대용량 디퓨저,3.89,4,2,0
2026-06-02,6,대용량 디퓨저,4.89,6,2,1
2026-06-09,6,대용량 디퓨저,4.46,10,1,1
2026-03-17,7,아로마 캔들 세트,3.74,4,4,1
2026-03-24,7,아로마 캔들 세트,3.97,4,3,0
2026-03-31,7,아로마 캔들 세트,4.41,4,0,0
2026-04-07,7,아로마 캔들 세트,4.28,3,2,2
2026-04-14,7,아로마 캔들 세트,3.93,6,2,2
2026-04-21,7,아로마 캔들 세트,4.43,6,2,1
2026-04-28,7,아로마 캔들 세트,4.51,2,0,0
2026-05-05,7,아로마 캔들 세트,3.84,3,1,1
