date,channel,campaign,ad_spend,clicks,conversions,ROAS
2025-06-15,Meta,Meta 캠페인,21839.98,5464,164,3006.95
2025-06-15,Google,Google 캠페인,20112.85,5839,243,3343.62
2025-06-15,Naver,Naver 캠페인,16943.05,4422,150,3484.12
2025-06-15,Instagram,Instagram 캠페인,16936.5,3578,102,2559.36
2025-06-16,Meta,Meta 캠페인,23653.1,5709,183,1417.48
2025-06-16,Google,Google 캠페인,19571.86,6002,243,2250.7
2025-06-16,Naver,Naver 캠페인,13186.75,3438,98,3274.72
2025-06-16,Instagram,Instagram 캠페인,14045.52,2960,81,2177.41
2025-06-17,Meta,Meta 캠페인,21823.98,5741,186,2555.26
2025-06-17,Google,Google 캠페인,24505.81,7644,320,2379.15
2025-06-17,Naver,Naver 캠페인,16475.51,4628,169,2982.48
2025-06-17,Instagram,Instagram 캠페인,10626.47,2456,71,3558.99
2025-06-18,Meta,Meta 캠페인,15196.19,3806,119,4068.32
2025-06-18,Google,Google 캠페인,19140.06,5942,239,4769.14
2025-06-18,Naver,Naver 캠페인,15347.85,3876,139,3472.87
2025-06-18,Instagram,Instagram 캠페인,16336.17,3847,103,2605.47
2025-06-19,Meta,Meta 캠페인,19239.9,5021,166,3162.28
2025-06-19,Google,Google 캠페인,20796.34,6595,275,2729.33
2025-06-19,Naver,Naver 캠페인,11730.92,3372,130,4395.48
2025-06-19,Instagram,Instagram 캠페인,17142.91,3765,111,2402.24
2025-06-20,Meta,Meta 캠페인,19711.07,4996,170,2272.72
2025-06-20,Google,Google 캠페인,28016.13,8699,360,2087.62
2025-06-20,Naver,Naver 캠페인,17958.69,4420,156,3401.16
2025-06-20,Instagram,Instagram 캠페인,14677.41,3707,112,2686.01
2025-06-21,Meta,Meta 캠페인,18934.22,5103,160,3563.84
2025-06-21,Google,Google 캠페인,17708.99,5322,218,4734.8
2025-06-21,Naver,Naver 캠페인,18799.98,5043,176,4080.25
2025-06-21,Instagram,Instagram 캠페인,14242.33,2919,98,3971.19
2025-06-22,Meta,Meta 캠페인,17517.43,4727,158,3215.18
2025-06-22,Google,Google 캠페인,22046.32,6464,282,3705.53
2025-06-22,Naver,Naver 캠페인,16238.44,4398,142,3479.68
2025-06-22,Instagram,Instagram 캠페인,13870.29,3169,78,3613.0
2025-06-23,Meta,Meta 캠페인,16388.35,4231,128,2499.71
2025-06-23,Google,Google 캠페인,21972.56,7000,301,2727.55
2025-06-23,Naver,Naver 캠페인,16500.13,4485,173,3467.35
2025-06-23,Instagram,Instagram 캠페인,9958.82,1945,51,2831.67
2025-06-24,Meta,Meta 캠페인,17840.09,4543,144,2900.52
2025-06-24,Google,Google 캠페인,22433.85,6605,264,2708.12
2025-06-24,Naver,Naver 캠페인,17907.3,5137,169,3538.26
2025-06-24,Instagram,Instagram 캠페인,12760.1,2845,84,2630.33
2025-06-25,Meta,Meta 캠페인,19806.56,5035,153,2374.62
2025-06-25,Google,Google 캠페인,20048.53,6337,262,3290.77
2025-06-25,Naver,Naver 캠페인,13716.98,3278,93,3215.73
2025-06-25,Instagram,Instagram 캠페인,16444.4,3669,97,2484.79
2025-06-26,Meta,Meta 캠페인,18806.96,4608,154,2629.09
2025-06-26,Google,Google 캠페인,21825.58,6860,274,3351.14
2025-06-26,Naver,Naver 캠페인,16979.86,4411,149,3429.45
2025-06-26,Instagram,Instagram 캠페인,17127.68,3945,110,2488.32
2025-06-27,Meta,Meta 캠페인,22868.43,5701,182,2276.15
2025-06-27,Google,Google 캠페인,21009.88,6233,259,3880.67
2025-06-27,Naver,Naver 캠페인,19237.85,5309,195,3043.97
2025-06-27,Instagram,Instagram 캠페인,16545.59,3877,96,2599.11
2025-06-28,Meta,Meta 캠페인,20449.06,5242,166,2998.82
2025-06-28,Google,Google 캠페인,26978.84,8298,350,3284.33
2025-06-28,Naver,Naver 캠페인,21118.35,5553,192,3397.79
2025-06-28,Instagram,Instagram 캠페인,14911.48,3659,111,3205.9
2025-06-29,Meta,Meta 캠페인,19196.54,4823,148,2827.55
2025-06-29,Google,Google 캠페인,20317.26,6303,249,2467.87
2025-06-29,Naver,Naver 캠페인,20158.28,5390,178,2078.1
2025-06-29,Instagram,Instagram 캠페인,18982.72,4126,112,1756.18
2025-06-30,Meta,Meta 캠페인,19725.45,4612,138,1574.17
2025-06-30,Google,Google 캠페인,19874.05,5819,241,2659.54
2025-06-30,Naver,Naver 캠페인,17074.3,4793,171,2699.13
2025-06-30,Instagram,Instagram 캠페인,16563.09,3626,107,2040.77
2025-07-01,Meta,Meta 캠페인,18411.67,5084,162,2713.96
2025-07-01,Google,Google 캠페인,22959.31,6671,271,3283.9
2025-07-01,Naver,Naver 캠페인,14693.61,3837,140,4276.4
2025-07-01,Instagram,Instagram 캠페인,11351.73,2649,81,3630.56
2025-07-02,Meta,Meta 캠페인,17681.02,4737,149,2402.23
2025-07-02,Google,Google 캠페인,20006.85,6214,274,2454.91
2025-07-02,Naver,Naver 캠페인,19283.49,5050,183,2907.39
2025-07-02,Instagram,Instagram 캠페인,13797.31,2457,68,2693.59
2025-07-03,Meta,Meta 캠페인,15169.71,4047,110,3115.85
2025-07-03,Google,Google 캠페인,21766.37,6484,263,2938.25
2025-07-03,Naver,Naver 캠페인,15123.38,4123,141,3985.91
2025-07-03,Instagram,Instagram 캠페인,14484.15,3488,82,2548.7
2025-07-04,Meta,Meta 캠페인,19149.63,4627,144,2533.21
2025-07-04,Google,Google 캠페인,26577.77,8406,340,2806.82
2025-07-04,Naver,Naver 캠페인,18576.81,4897,174,2764.24
2025-07-04,Instagram,Instagram 캠페인,17370.66,3765,116,2494.25
2025-07-05,Meta,Meta 캠페인,20890.27,5270,171,3532.44
2025-07-05,Google,Google 캠페인,23438.19,6979,288,3607.72
2025-07-05,Naver,Naver 캠페인,14688.34,3704,119,4263.3
2025-07-05,Instagram,Instagram 캠페인,15439.98,3548,97,3013.08
2025-07-06,Meta,Meta 캠페인,18995.64,4615,138,3208.53
2025-07-06,Google,Google 캠페인,25281.74,7887,318,3418.35
2025-07-06,Naver,Naver 캠페인,16809.43,4495,155,4338.34
2025-07-06,Instagram,Instagram 캠페인,13697.76,3227,99,3723.5
2025-07-07,Meta,Meta 캠페인,13808.48,3447,110,2392.06
2025-07-07,Google,Google 캠페인,20821.48,6484,263,2568.14
2025-07-07,Naver,Naver 캠페인,17982.42,4693,168,2365.62
2025-07-07,Instagram,Instagram 캠페인,10840.86,2586,69,2804.08
2025-07-08,Meta,Meta 캠페인,16541.63,3833,119,2404.41
2025-07-08,Google,Google 캠페인,19860.18,6274,243,2871.88
2025-07-08,Naver,Naver 캠페인,18129.3,4823,163,2576.23
2025-07-08,Instagram,Instagram 캠페인,12638.62,2781,78,2623.61
2025-07-09,Meta,Meta 캠페인,20172.85,4859,184,1691.8
2025-07-09,Google,Google 캠페인,17764.98,5691,224,3985.1
2025-07-09,Naver,Naver 캠페인,15426.67,4332,149,2461.85
2025-07-09,Instagram,Instagram 캠페인,14701.1,3042,86,2570.99
2025-07-10,Meta,Meta 캠페인,15528.28,4028,133,3401.48
2025-07-10,Google,Google 캠페인,20975.87,6453,237,2676.36
2025-07-10,Naver,Naver 캠페인,19765.19,5303,196,2773.42
2025-07-10,Instagram,Instagram 캠페인,15269.97,3867,95,2414.66
2025-07-11,Meta,Meta 캠페인,20435.3,5586,184,2674.92
2025-07-11,Google,Google 캠페인,17951.53,4967,212,4710.58
2025-07-11,Naver,Naver 캠페인,20619.43,5863,196,3116.89
2025-07-11,Instagram,Instagram 캠페인,17904.88,4416,128,2099.35
2025-07-12,Meta,Meta 캠페인,19131.43,5059,146,3497.86
2025-07-12,Google,Google 캠페인,30846.05,9562,387,3009.19
2025-07-12,Naver,Naver 캠페인,16903.63,4653,167,4127.93
2025-07-12,Instagram,Instagram 캠페인,18746.55,4392,126,2501.19
2025-07-13,Meta,Meta 캠페인,19199.1,4955,144,2836.99
2025-07-13,Google,Google 캠페인,21335.6,6773,273,3822.05
2025-07-13,Naver,Naver 캠페인,17829.45,5070,172,3505.89
2025-07-13,Instagram,Instagram 캠페인,16935.72,3777,116,2832.0
2025-07-14,Meta,Meta 캠페인,20441.98,5465,188,2421.34
2025-07-14,Google,Google 캠페인,21775.39,6614,267,3442.83
2025-07-14,Naver,Naver 캠페인,15131.82,4071,135,3700.73
2025-07-14,Instagram,Instagram 캠페인,9455.87,1993,47,4492.82
2025-07-15,Meta,Meta 캠페인,18566.19,5053,173,2354.65
2025-07-15,Google,Google 캠페인,22095.44,6804,277,2187.13
2025-07-15,Naver,Naver 캠페인,14214.83,3709,129,3492.8
2025-07-15,Instagram,Instagram 캠페인,11394.8,2667,81,3116.29
2025-07-16,Meta,Meta 캠페인,16422.08,4467,140,2682.64
2025-07-16,Google,Google 캠페인,16138.51,4902,191,2834.92
2025-07-16,Naver,Naver 캠페인,14934.85,3990,147,3268.29
2025-07-16,Instagram,Instagram 캠페인,16873.22,3987,101,2112.77
2025-07-17,Meta,Meta 캠페인,18501.86,4406,136,2918.47
2025-07-17,Google,Google 캠페인,24911.08,7539,304,2417.57
2025-07-17,Naver,Naver 캠페인,19415.22,5397,193,3345.1
2025-07-17,Instagram,Instagram 캠페인,14928.67,3767,111,2348.83
2025-07-18,Meta,Meta 캠페인,18739.63,5056,148,3007.15
2025-07-18,Google,Google 캠페인,23381.28,7523,304,2373.0
2025-07-18,Naver,Naver 캠페인,19003.35,5287,196,2707.97
2025-07-18,Instagram,Instagram 캠페인,16242.65,3248,89,2132.53
2025-07-19,Meta,Meta 캠페인,21066.61,5186,162,2397.05
2025-07-19,Google,Google 캠페인,22129.65,6367,263,3866.17
2025-07-19,Naver,Naver 캠페인,19299.57,5391,189,4113.04
2025-07-19,Instagram,Instagram 캠페인,14009.96,3186,87,3691.24
2025-07-20,Meta,Meta 캠페인,21545.64,5202,169,2931.63
2025-07-20,Google,Google 캠페인,24833.02,7733,303,2746.19
2025-07-20,Naver,Naver 캠페인,15945.68,4346,147,4215.66
2025-07-20,Instagram,Instagram 캠페인,15686.67,3940,104,2244.13
2025-07-21,Meta,Meta 캠페인,18336.19,4320,138,2529.5
2025-07-21,Google,Google 캠페인,24010.19,7409,287,2527.8
2025-07-21,Naver,Naver 캠페인,13802.5,3633,130,3659.55
2025-07-21,Instagram,Instagram 캠페인,16819.65,3650,96,2109.6
2025-07-22,Meta,Meta 캠페인,16504.57,4185,128,2365.06
2025-07-22,Google,Google 캠페인,18822.11,5896,244,3395.86
2025-07-22,Naver,Naver 캠페인,13587.81,3417,106,4222.27
2025-07-22,Instagram,Instagram 캠페인,15297.51,3334,89,2226.12
2025-07-23,Meta,Meta 캠페인,18566.57,4483,143,2408.17
2025-07-23,Google,Google 캠페인,25541.24,7971,345,2017.04
2025-07-23,Naver,Naver 캠페인,18889.13,4635,157,2956.82
2025-07-23,Instagram,Instagram 캠페인,15988.36,3651,111,1780.14
2025-07-24,Meta,Meta 캠페인,20482.44,5618,179,2408.07
2025-07-24,Google,Google 캠페인,18900.43,5978,241,3792.39
2025-07-24,Naver,Naver 캠페인,19952.51,5508,191,3186.43
2025-07-24,Instagram,Instagram 캠페인,15093.8,3702,112,2930.28
2025-07-25,Meta,Meta 캠페인,21138.51,5121,163,2052.33
2025-07-25,Google,Google 캠페인,21024.77,6277,260,3514.03
2025-07-25,Naver,Naver 캠페인,19382.55,5236,179,2162.54
2025-07-25,Instagram,Instagram 캠페인,16782.2,3834,92,2217.3
2025-07-26,Meta,Meta 캠페인,18288.7,4895,159,3685.6
2025-07-26,Google,Google 캠페인,20091.93,6300,251,4657.91
2025-07-26,Naver,Naver 캠페인,17525.3,4680,155,4501.06
2025-07-26,Instagram,Instagram 캠페인,16318.73,3751,107,3507.15
2025-07-27,Meta,Meta 캠페인,20829.12,5371,190,3105.92
2025-07-27,Google,Google 캠페인,22569.95,7057,300,3280.03
2025-07-27,Naver,Naver 캠페인,18714.64,5364,186,3906.61
2025-07-27,Instagram,Instagram 캠페인,18878.86,3866,111,2580.76
2025-07-28,Meta,Meta 캠페인,16812.16,4504,146,3024.35
2025-07-28,Google,Google 캠페인,21685.4,6960,284,2910.47
2025-07-28,Naver,Naver 캠페인,14854.49,4249,170,3412.26
2025-07-28,Instagram,Instagram 캠페인,16996.77,3763,110,2227.69
2025-07-29,Meta,Meta 캠페인,18617.3,4666,151,2547.56
2025-07-29,Google,Google 캠페인,22737.03,6952,282,2056.05
2025-07-29,Naver,Naver 캠페인,20462.96,5699,220,1815.39
2025-07-29,Instagram,Instagram 캠페인,11878.33,2776,85,3079.69
2025-07-30,Meta,Meta 캠페인,22875.37,5968,201,2199.73
2025-07-30,Google,Google 캠페인,22110.22,6911,286,2556.29
2025-07-30,Naver,Naver 캠페인,15613.1,4788,159,4149.49
2025-07-30,Instagram,Instagram 캠페인,13105.64,3128,89,3197.77
2025-07-31,Meta,Meta 캠페인,17840.67,4805,135,2937.53
2025-07-31,Google,Google 캠페인,23488.33,7229,305,2645.81
2025-07-31,Naver,Naver 캠페인,17719.25,4730,169,2945.77
2025-07-31,Instagram,Instagram 캠페인,13819.13,3383,96,2931.99
2025-08-01,Meta,Meta 캠페인,24177.89,6382,201,2054.42
2025-08-01,Google,Google 캠페인,27437.24,8706,366,2793.13
2025-08-01,Naver,Naver 캠페인,22430.93,5809,212,2315.74
2025-08-01,Instagram,Instagram 캠페인,18863.28,4293,122,2346.09
2025-08-02,Meta,Meta 캠페인,16882.55,4259,133,4073.88
2025-08-02,Google,Google 캠페인,24214.31,7628,311,3906.69
2025-08-02,Naver,Naver 캠페인,19165.26,4860,159,4320.58
2025-08-02,Instagram,Instagram 캠페인,15902.81,4136,119,3961.54
2025-08-03,Meta,Meta 캠페인,24121.53,6047,199,2633.05
2025-08-03,Google,Google 캠페인,26734.61,8153,331,2622.79
2025-08-03,Naver,Naver 캠페인,19508.59,5233,195,3050.03
2025-08-03,Instagram,Instagram 캠페인,17449.24,3823,102,2090.77
2025-08-04,Meta,Meta 캠페인,17201.14,4472,145,2594.52
2025-08-04,Google,Google 캠페인,19647.83,6096,264,3028.76
2025-08-04,Naver,Naver 캠페인,13832.69,3989,135,3454.91
2025-08-04,Instagram,Instagram 캠페인,17099.1,3817,113,1889.55
2025-08-05,Meta,Meta 캠페인,17614.84,3808,117,2215.43
2025-08-05,Google,Google 캠페인,22010.73,6872,282,2783.21
2025-08-05,Naver,Naver 캠페인,16405.63,4395,156,2463.9
2025-08-05,Instagram,Instagram 캠페인,13501.92,2998,99,2984.59
2025-08-06,Meta,Meta 캠페인,21446.43,5496,163,2068.89
2025-08-06,Google,Google 캠페인,19361.38,6027,264,3085.35
2025-08-06,Naver,Naver 캠페인,17538.99,4666,161,2373.59
2025-08-06,Instagram,Instagram 캠페인,15083.96,3259,84,2709.74
2025-08-07,Meta,Meta 캠페인,16975.13,4280,138,3775.8
2025-08-07,Google,Google 캠페인,17176.7,5108,199,4023.57
2025-08-07,Naver,Naver 캠페인,15264.29,4115,142,4151.27
2025-08-07,Instagram,Instagram 캠페인,16011.48,3686,92,3074.36
2025-08-08,Meta,Meta 캠페인,21197.1,5413,178,2222.03
2025-08-08,Google,Google 캠페인,20047.32,6083,240,3469.81
2025-08-08,Naver,Naver 캠페인,21912.03,5936,200,2793.89
2025-08-08,Instagram,Instagram 캠페인,12553.43,3432,92,3150.51
2025-08-09,Meta,Meta 캠페인,18686.12,4499,138,3402.11
2025-08-09,Google,Google 캠페인,25347.98,7654,315,3289.85
2025-08-09,Naver,Naver 캠페인,14292.99,3878,133,5287.89
2025-08-09,Instagram,Instagram 캠페인,12948.99,3010,85,4002.56
2025-08-10,Meta,Meta 캠페인,16012.45,4046,111,4885.66
2025-08-10,Google,Google 캠페인,25180.05,7309,292,2577.74
2025-08-10,Naver,Naver 캠페인,19176.23,5058,174,2562.25
2025-08-10,Instagram,Instagram 캠페인,13895.68,3268,90,3975.79
2025-08-11,Meta,Meta 캠페인,17185.03,4379,145,2853.86
2025-08-11,Google,Google 캠페인,23204.41,7249,298,2659.22
2025-08-11,Naver,Naver 캠페인,16652.88,4379,157,2911.77
2025-08-11,Instagram,Instagram 캠페인,12139.57,2460,66,3089.73
2025-08-12,Meta,Meta 캠페인,13416.33,3496,111,3747.72
2025-08-12,Google,Google 캠페인,22934.33,7417,308,3484.41
2025-08-12,Naver,Naver 캠페인,18411.02,4948,174,3293.61
2025-08-12,Instagram,Instagram 캠페인,11904.83,2441,58,2959.44
2025-08-13,Meta,Meta 캠페인,19472.19,4866,152,2284.24
2025-08-13,Google,Google 캠페인,20099.44,5757,232,3143.47
