date,channel,campaign,campaign_active,brand_search_volume,ad_spend,clicks
2025-06-15,Meta,브랜드 퍼포먼스,1,601,23182.46,214
2025-06-15,Meta,검색 수요 포착,0,340,0.0,0
2025-06-15,Meta,쿠폰 리커버리,0,300,1284.04,10
2025-06-15,Google,브랜드 퍼포먼스,0,229,0.0,0
2025-06-15,Google,검색 수요 포착,0,392,4244.74,46
2025-06-15,Google,쿠폰 리커버리,0,357,2175.61,18
2025-06-15,Naver,브랜드 퍼포먼스,0,238,1786.5,10
2025-06-15,Naver,검색 수요 포착,0,356,1267.99,13
2025-06-15,Naver,쿠폰 리커버리,0,278,2294.95,19
2025-06-15,Instagram,브랜드 퍼포먼스,1,709,26525.51,241
2025-06-15,Instagram,검색 수요 포착,0,285,0.0,0
2025-06-15,Instagram,쿠폰 리커버리,0,278,0.0,0
2025-06-16,Meta,브랜드 퍼포먼스,0,235,2044.54,14
2025-06-16,Meta,검색 수요 포착,0,366,0.0,0
2025-06-16,Meta,쿠폰 리커버리,0,309,800.75,6
2025-06-16,Google,브랜드 퍼포먼스,0,240,0.0,0
2025-06-16,Google,검색 수요 포착,1,963,7786.86,93
2025-06-16,Google,쿠폰 리커버리,0,336,2904.91,23
2025-06-16,Naver,브랜드 퍼포먼스,0,258,316.46,0
2025-06-16,Naver,검색 수요 포착,1,904,7935.46,100
2025-06-16,Naver,쿠폰 리커버리,0,287,2063.99,16
2025-06-16,Instagram,브랜드 퍼포먼스,0,214,2458.77,16
2025-06-16,Instagram,검색 수요 포착,0,354,0.0,0
2025-06-16,Instagram,쿠폰 리커버리,0,299,0.0,0
2025-06-17,Meta,브랜드 퍼포먼스,0,245,861.0,6
2025-06-17,Meta,검색 수요 포착,0,389,0.0,0
2025-06-17,Meta,쿠폰 리커버리,0,345,2854.67,22
2025-06-17,Google,브랜드 퍼포먼스,0,267,0.0,0
2025-06-17,Google,검색 수요 포착,1,993,20774.3,251
2025-06-17,Google,쿠폰 리커버리,0,256,1745.78,13
2025-06-17,Naver,브랜드 퍼포먼스,0,162,2413.97,15
2025-06-17,Naver,검색 수요 포착,1,893,3852.45,56
2025-06-17,Naver,쿠폰 리커버리,0,231,1257.58,11
2025-06-17,Instagram,브랜드 퍼포먼스,0,251,2972.54,25
2025-06-17,Instagram,검색 수요 포착,0,386,0.0,0
2025-06-17,Instagram,쿠폰 리커버리,0,282,0.0,0
2025-06-18,Meta,브랜드 퍼포먼스,0,218,2846.85,21
2025-06-18,Meta,검색 수요 포착,0,304,0.0,0
2025-06-18,Meta,쿠폰 리커버리,0,360,1320.58,9
2025-06-18,Google,브랜드 퍼포먼스,0,305,0.0,0
2025-06-18,Google,검색 수요 포착,1,1031,32911.64,418
2025-06-18,Google,쿠폰 리커버리,0,239,1150.06,10
2025-06-18,Naver,브랜드 퍼포먼스,0,314,1377.06,11
2025-06-18,Naver,검색 수요 포착,1,1040,12634.97,165
2025-06-18,Naver,쿠폰 리커버리,0,360,2056.39,17
2025-06-18,Instagram,브랜드 퍼포먼스,0,284,3656.04,26
2025-06-18,Instagram,검색 수요 포착,0,372,0.0,0
2025-06-18,Instagram,쿠폰 리커버리,0,213,0.0,0
2025-06-19,Meta,브랜드 퍼포먼스,0,237,2445.99,18
2025-06-19,Meta,검색 수요 포착,0,451,0.0,0
2025-06-19,Meta,쿠폰 리커버리,0,285,1559.21,14
2025-06-19,Google,브랜드 퍼포먼스,0,208,0.0,0
2025-06-19,Google,검색 수요 포착,1,1080,34558.39,435
2025-06-19,Google,쿠폰 리커버리,0,290,402.03,3
2025-06-19,Naver,브랜드 퍼포먼스,0,261,567.95,3
2025-06-19,Naver,검색 수요 포착,1,971,10408.78,146
2025-06-19,Naver,쿠폰 리커버리,0,312,2837.41,25
2025-06-19,Instagram,브랜드 퍼포먼스,0,213,3315.9,26
2025-06-19,Instagram,검색 수요 포착,0,354,0.0,0
2025-06-19,Instagram,쿠폰 리커버리,0,261,0.0,0
2025-06-20,Meta,브랜드 퍼포먼스,1,609,25040.54,176
2025-06-20,Meta,검색 수요 포착,0,389,0.0,0
2025-06-20,Meta,쿠폰 리커버리,0,326,1048.84,9
2025-06-20,Google,브랜드 퍼포먼스,0,272,0.0,0
2025-06-20,Google,검색 수요 포착,0,403,3384.09,34
2025-06-20,Google,쿠폰 리커버리,0,279,2786.04,22
2025-06-20,Naver,브랜드 퍼포먼스,0,287,1753.86,12
2025-06-20,Naver,검색 수요 포착,0,395,1010.37,11
2025-06-20,Naver,쿠폰 리커버리,0,283,2543.49,21
2025-06-20,Instagram,브랜드 퍼포먼스,1,665,26373.71,287
2025-06-20,Instagram,검색 수요 포착,0,434,0.0,0
2025-06-20,Instagram,쿠폰 리커버리,0,300,0.0,0
2025-06-21,Meta,브랜드 퍼포먼스,1,718,30833.34,269
2025-06-21,Meta,검색 수요 포착,0,318,0.0,0
2025-06-21,Meta,쿠폰 리커버리,0,300,509.75,4
2025-06-21,Google,브랜드 퍼포먼스,0,229,0.0,0
2025-06-21,Google,검색 수요 포착,0,335,5464.74,50
2025-06-21,Google,쿠폰 리커버리,0,235,1681.81,15
