date,customer_segment,acquisition_channel,new_customers,signups,returning_customers,repeat_purchase_rate,cart_abandon_rate,coupon_redemption_count,clicks,attributed_revenue
2025-06-15,신규 탐색,Meta,0,0,0,0.123,0.356,0,15,14695
2025-06-15,신규 탐색,Google,0,0,0,0.1472,0.3106,0,38,27766
2025-06-15,신규 탐색,Naver,4,4,0,0.1776,0.3223,0,16,8240
2025-06-15,신규 탐색,Instagram,0,0,0,0.108,0.2858,0,23,23695
2025-06-15,가격 민감,Meta,1,1,0,0.1474,0.372,0,12,7879
2025-06-15,가격 민감,Google,0,0,0,0.1553,0.3916,0,17,13242
2025-06-15,가격 민감,Naver,0,0,0,0.2032,0.4147,0,24,18886
2025-06-15,가격 민감,Instagram,0,0,0,0.2162,0.3655,0,9,5365
2025-06-15,재구매 후보,Meta,0,0,0,0.3552,0.2284,0,11,14577
2025-06-15,재구매 후보,Google,3,3,0,0.4049,0.2236,0,17,26983
2025-06-15,재구매 후보,Naver,0,0,0,0.3346,0.2679,0,3,4926
2025-06-15,재구매 후보,Instagram,0,0,0,0.3237,0.2271,0,3,3897
2025-06-15,VIP,Meta,0,0,0,0.5652,0.1666,0,2,4381
2025-06-15,VIP,Google,1,1,0,0.5156,0.1563,0,13,19980
2025-06-15,VIP,Naver,1,1,2,0.5584,0.1501,0,11,25708
2025-06-15,VIP,Instagram,3,3,2,0.5131,0.1543,0,4,9779
2025-06-15,휴면 복귀,Meta,0,0,0,0.2326,0.3026,0,18,16450
2025-06-15,휴면 복귀,Google,1,1,0,0.1739,0.2832,0,8,8484
2025-06-15,휴면 복귀,Naver,0,0,0,0.275,0.424,0,0,0
2025-06-15,휴면 복귀,Instagram,3,3,0,0.2545,0.3849,0,8,10559
2025-06-16,신규 탐색,Meta,0,0,0,0.1617,0.315,0,12,10176
2025-06-16,신규 탐색,Google,6,6,4,0.1468,0.3095,0,16,14853
2025-06-16,신규 탐색,Naver,3,3,2,0.1564,0.3052,0,12,11354
2025-06-16,신규 탐색,Instagram,2,2,1,0.0823,0.2732,0,1,968
2025-06-16,가격 민감,Meta,3,3,0,0.1497,0.3932,1,6,2861
2025-06-16,가격 민감,Google,1,1,0,0.1865,0.3646,0,0,0
2025-06-16,가격 민감,Naver,0,0,0,0.2162,0.395,0,10,7676
2025-06-16,가격 민감,Instagram,0,0,1,0.195,0.3895,0,0,0
2025-06-16,재구매 후보,Meta,0,0,0,0.3206,0.1783,0,0,0
2025-06-16,재구매 후보,Google,2,2,0,0.382,0.2403,0,5,6559
2025-06-16,재구매 후보,Naver,4,4,4,0.3102,0.2549,0,2,2773
2025-06-16,재구매 후보,Instagram,2,2,3,0.3748,0.2722,0,0,0
2025-06-16,VIP,Meta,2,2,1,0.5009,0.1869,0,5,12156
2025-06-16,VIP,Google,0,0,0,0.5564,0.1551,0,14,34531
2025-06-16,VIP,Naver,0,0,2,0.547,0.1447,0,14,27807
2025-06-16,VIP,Instagram,2,2,3,0.5053,0.1733,1,4,8475
2025-06-16,휴면 복귀,Meta,3,3,1,0.2408,0.3797,1,12,11917
2025-06-16,휴면 복귀,Google,3,3,1,0.2424,0.336,0,0,0
2025-06-16,휴면 복귀,Naver,0,0,0,0.2219,0.3933,0,15,14513
2025-06-16,휴면 복귀,Instagram,0,0,0,0.2066,0.323,0,25,19759
2025-06-17,신규 탐색,Meta,4,4,5,0.0978,0.2931,0,19,16973
2025-06-17,신규 탐색,Google,0,0,0,0.116,0.2469,0,23,25330
2025-06-17,신규 탐색,Naver,0,0,0,0.0915,0.3099,0,12,7225
2025-06-17,신규 탐색,Instagram,4,4,1,0.1344,0.245,1,27,27735
2025-06-17,가격 민감,Meta,0,0,2,0.1525,0.413,0,2,1747
2025-06-17,가격 민감,Google,0,0,0,0.1634,0.4251,0,13,8771
2025-06-17,가격 민감,Naver,0,0,0,0.199,0.3867,0,28,19612
2025-06-17,가격 민감,Instagram,0,0,0,0.2141,0.4035,0,15,7661
2025-06-17,재구매 후보,Meta,0,0,0,0.3599,0.2867,0,10,17306
2025-06-17,재구매 후보,Google,0,0,2,0.3405,0.2462,0,0,0
2025-06-17,재구매 후보,Naver,0,0,0,0.3461,0.2479,0,2,1699
2025-06-17,재구매 후보,Instagram,0,0,2,0.3778,0.1824,0,11,9902
2025-06-17,VIP,Meta,2,2,2,0.5243,0.1379,0,2,3994
2025-06-17,VIP,Google,0,0,0,0.5469,0.1595,0,14,24125
2025-06-17,VIP,Naver,0,0,1,0.53,0.1847,0,12,17113
2025-06-17,VIP,Instagram,1,1,3,0.5223,0.1489,0,0,0
2025-06-17,휴면 복귀,Meta,0,0,0,0.228,0.2978,0,2,1275
2025-06-17,휴면 복귀,Google,2,2,2,0.2554,0.3227,0,10,13088
2025-06-17,휴면 복귀,Naver,1,1,2,0.2064,0.3653,0,9,8667
2025-06-17,휴면 복귀,Instagram,0,0,0,0.1718,0.3513,0,15,15755
2025-06-18,신규 탐색,Meta,0,0,1,0.1605,0.3299,0,15,14240
2025-06-18,신규 탐색,Google,2,2,0,0.1657,0.341,0,29,27204
2025-06-18,신규 탐색,Naver,0,0,0,0.1297,0.3111,0,20,20835
2025-06-18,신규 탐색,Instagram,0,0,0,0.1553,0.2364,0,7,4492
2025-06-18,가격 민감,Meta,0,0,0,0.1774,0.4237,0,5,2588
2025-06-18,가격 민감,Google,3,3,0,0.1768,0.4197,0,30,14456
2025-06-18,가격 민감,Naver,3,3,0,0.2038,0.4103,2,17,7480
2025-06-18,가격 민감,Instagram,3,3,0,0.1919,0.3836,1,17,11418
2025-06-18,재구매 후보,Meta,2,2,2,0.3896,0.2044,0,22,19812
2025-06-18,재구매 후보,Google,3,4,0,0.3632,0.26,1,19,28272
2025-06-18,재구매 후보,Naver,3,3,4,0.3094,0.2875,0,13,13149
2025-06-18,재구매 후보,Instagram,2,2,0,0.3154,0.2302,1,13,23251
2025-06-18,VIP,Meta,2,2,0,0.5048,0.1642,0,11,21463
2025-06-18,VIP,Google,0,0,0,0.5445,0.1747,0,20,25449
2025-06-18,VIP,Naver,0,0,0,0.4794,0.1739,0,9,15929
2025-06-18,VIP,Instagram,4,4,5,0.4783,0.1272,0,6,8136
2025-06-18,휴면 복귀,Meta,0,0,0,0.2641,0.3441,0,20,15066
2025-06-18,휴면 복귀,Google,4,4,1,0.2346,0.3444,0,21,25701
2025-06-18,휴면 복귀,Naver,4,4,3,0.2697,0.2746,0,8,5427
2025-06-18,휴면 복귀,Instagram,0,0,0,0.1912,0.3384,0,18,15063
2025-06-19,신규 탐색,Meta,3,3,0,0.154,0.298,0,25,21430
2025-06-19,신규 탐색,Google,0,0,0,0.1687,0.2781,0,19,17255
2025-06-19,신규 탐색,Naver,0,0,0,0.1318,0.2667,0,13,6719
2025-06-19,신규 탐색,Instagram,2,2,2,0.1438,0.2988,0,16,8494
2025-06-19,가격 민감,Meta,0,0,0,0.2542,0.3722,0,0,0
2025-06-19,가격 민감,Google,3,3,0,0.2063,0.404,0,18,10258
2025-06-19,가격 민감,Naver,1,1,1,0.2015,0.427,0,9,7621
2025-06-19,가격 민감,Instagram,0,0,1,0.1554,0.3933,0,10,7924
2025-06-19,재구매 후보,Meta,0,0,1,0.3652,0.2777,0,11,9939
2025-06-19,재구매 후보,Google,2,2,2,0.3651,0.2244,0,11,14658
2025-06-19,재구매 후보,Naver,1,1,3,0.3267,0.258,0,19,23160
2025-06-19,재구매 후보,Instagram,0,0,0,0.289,0.2816,0,11,17526
2025-06-19,VIP,Meta,0,0,0,0.5011,0.1617,0,10,25276
2025-06-19,VIP,Google,4,4,2,0.5229,0.1461,1,0,0
2025-06-19,VIP,Naver,0,0,0,0.4941,0.1439,0,7,17829
2025-06-19,VIP,Instagram,0,0,0,0.5155,0.1156,0,0,0
2025-06-19,휴면 복귀,Meta,0,0,0,0.2361,0.3142,0,2,2230
2025-06-19,휴면 복귀,Google,2,2,0,0.2391,0.315,0,21,25185
2025-06-19,휴면 복귀,Naver,2,2,0,0.2614,0.3188,0,23,17165
2025-06-19,휴면 복귀,Instagram,0,0,0,0.2191,0.3371,0,0,0
2025-06-20,신규 탐색,Meta,0,0,1,0.1149,0.2887,0,10,6104
2025-06-20,신규 탐색,Google,1,1,0,0.1526,0.3491,0,30,31810
2025-06-20,신규 탐색,Naver,3,3,0,0.0788,0.3293,0,25,25041
2025-06-20,신규 탐색,Instagram,5,6,0,0.0752,0.3113,1,19,17923
2025-06-20,가격 민감,Meta,2,2,0,0.1926,0.3972,0,18,13241
2025-06-20,가격 민감,Google,3,3,0,0.1667,0.3555,0,16,12097
2025-06-20,가격 민감,Naver,1,1,0,0.1893,0.3931,0,10,8603
2025-06-20,가격 민감,Instagram,3,3,0,0.1574,0.385,1,28,16342
2025-06-20,재구매 후보,Meta,4,4,0,0.327,0.2377,0,24,36566
2025-06-20,재구매 후보,Google,1,1,2,0.3451,0.2496,1,12,13463
2025-06-20,재구매 후보,Naver,0,0,0,0.2809,0.2233,0,2,2239
2025-06-20,재구매 후보,Instagram,3,3,1,0.3423,0.2611,0,20,26058
2025-06-20,VIP,Meta,0,0,0,0.5184,0.1475,0,0,0
2025-06-20,VIP,Google,0,0,0,0.5829,0.1393,0,26,62698
2025-06-20,VIP,Naver,0,0,0,0.5107,0.1465,0,6,10525
2025-06-20,VIP,Instagram,0,0,0,0.55,0.1119,0,10,25460
2025-06-20,휴면 복귀,Meta,1,1,0,0.2356,0.3521,0,10,6880
2025-06-20,휴면 복귀,Google,0,0,0,0.2107,0.3085,0,11,14256
2025-06-20,휴면 복귀,Naver,1,1,1,0.2428,0.3554,0,16,21660
2025-06-20,휴면 복귀,Instagram,0,0,0,0.2541,0.3567,0,21,13171
2025-06-21,신규 탐색,Meta,4,4,0,0.1368,0.3393,0,22,18942
2025-06-21,신규 탐색,Google,5,5,0,0.1517,0.3223,1,34,33467
2025-06-21,신규 탐색,Naver,2,2,0,0.1364,0.2485,0,23,19114
2025-06-21,신규 탐색,Instagram,5,5,3,0.1553,0.3556,0,19,17645
2025-06-21,가격 민감,Meta,0,0,0,0.1773,0.3795,0,12,10407
2025-06-21,가격 민감,Google,2,2,0,0.1799,0.384,0,12,7770
2025-06-21,가격 민감,Naver,0,0,1,0.1907,0.3714,0,20,8200
2025-06-21,가격 민감,Instagram,2,2,0,0.1909,0.3867,1,0,0
2025-06-21,재구매 후보,Meta,3,3,0,0.3941,0.2019,0,8,12346
2025-06-21,재구매 후보,Google,1,1,0,0.3474,0.2452,0,9,10882
2025-06-21,재구매 후보,Naver,2,2,0,0.3145,0.2604,0,19,33179
2025-06-21,재구매 후보,Instagram,0,0,0,0.3638,0.2937,0,19,21084
2025-06-21,VIP,Meta,0,0,0,0.5047,0.1492,0,4,10202
2025-06-21,VIP,Google,0,0,0,0.5698,0.1617,0,29,46380
2025-06-21,VIP,Naver,0,0,0,0.5303,0.1586,0,18,41784
2025-06-21,VIP,Instagram,3,3,3,0.556,0.1509,0,4,6107
2025-06-21,휴면 복귀,Meta,0,0,0,0.2608,0.3368,0,5,4739
2025-06-21,휴면 복귀,Google,4,4,0,0.236,0.3455,0,26,35142
2025-06-21,휴면 복귀,Naver,0,0,0,0.2475,0.3081,0,20,12596
2025-06-21,휴면 복귀,Instagram,1,1,0,0.2499,0.3132,0,12,8506
2025-06-22,신규 탐색,Meta,0,0,0,0.1252,0.3529,0,15,7363
2025-06-22,신규 탐색,Google,1,1,0,0.1778,0.3079,0,23,11798
2025-06-22,신규 탐색,Naver,2,2,2,0.1557,0.2979,1,23,11867
2025-06-22,신규 탐색,Instagram,1,1,2,0.1137,0.324,0,21,12063
2025-06-22,가격 민감,Meta,0,0,0,0.1865,0.3945,0,0,0
