date,product_id,product_name,category,orders,delayed_shipments,avg_delivery_days,delivery_issue_rate,rating
2025-06-15,1,감성 무드등,조명,6,0,1.88,0.0,4.36
2025-06-15,2,메모리폼 경추 베개,침실,4,1,2.09,0.1667,4.55
2025-06-15,3,원목 핸들 머그컵,주방,4,0,1.89,0.0,4.18
2025-06-15,4,무광 세라믹 접시 세트,주방,3,0,1.83,0.0,3.93
2025-06-15,5,북유럽 패브릭 포스터,인테리어,4,0,1.35,0.0,4.24
2025-06-15,6,대용량 디퓨저,생활,8,0,1.75,0.0,4.33
2025-06-15,7,아로마 캔들 세트,생활,5,0,2.11,0.0,3.98
2025-06-15,8,무선 미니 가습기,가전,5,0,2.05,0.0,4.37
2025-06-15,9,탁상용 저소음 선풍기,가전,14,1,1.67,0.0625,3.96
2025-06-15,10,프리미엄 호텔 침구 세트,침실,5,0,1.82,0.0,4.31
2025-06-16,1,감성 무드등,조명,3,0,2.16,0.0,4.43
2025-06-16,2,메모리폼 경추 베개,침실,4,0,1.37,0.0,4.62
2025-06-16,3,원목 핸들 머그컵,주방,11,0,1.99,0.0,4.27
2025-06-16,4,무광 세라믹 접시 세트,주방,7,0,1.49,0.0,3.67
2025-06-16,5,북유럽 패브릭 포스터,인테리어,2,0,1.64,0.0,4.5
2025-06-16,6,대용량 디퓨저,생활,4,0,1.96,0.0,4.42
2025-06-16,7,아로마 캔들 세트,생활,4,1,2.02,0.1429,3.87
2025-06-16,8,무선 미니 가습기,가전,4,0,2.09,0.0,4.23
2025-06-16,9,탁상용 저소음 선풍기,가전,3,1,1.83,0.2,4.09
2025-06-16,10,프리미엄 호텔 침구 세트,침실,1,0,1.79,0.0,4.37
2025-06-17,1,감성 무드등,조명,5,0,1.6,0.0,4.39
2025-06-17,2,메모리폼 경추 베개,침실,5,0,1.85,0.0,4.53
2025-06-17,3,원목 핸들 머그컵,주방,5,0,1.85,0.0,4.17
2025-06-17,4,무광 세라믹 접시 세트,주방,10,1,1.64,0.1,3.74
2025-06-17,5,북유럽 패브릭 포스터,인테리어,1,0,1.75,0.0,4.45
2025-06-17,6,대용량 디퓨저,생활,8,0,1.67,0.0,4.43
2025-06-17,7,아로마 캔들 세트,생활,3,0,1.41,0.0,4.0
2025-06-17,8,무선 미니 가습기,가전,3,0,1.83,0.0,4.16
2025-06-17,9,탁상용 저소음 선풍기,가전,7,0,1.58,0.0,4.11
2025-06-17,10,프리미엄 호텔 침구 세트,침실,2,1,1.7,0.5,4.32
2025-06-18,1,감성 무드등,조명,6,0,1.59,0.0,4.38
2025-06-18,2,메모리폼 경추 베개,침실,6,0,1.8,0.0,4.53
