date,product_id,product_name,recommended_count,click_count,conversion_count
2025-06-15,1,감성 무드등,89,12,0
2025-06-15,2,메모리폼 경추 베개,61,5,0
2025-06-15,3,원목 핸들 머그컵,67,4,1
2025-06-15,4,무광 세라믹 접시 세트,89,12,4
2025-06-15,5,북유럽 패브릭 포스터,73,7,0
2025-06-15,6,대용량 디퓨저,86,7,2
2025-06-15,7,아로마 캔들 세트,95,14,3
2025-06-15,8,무선 미니 가습기,91,10,0
2025-06-15,9,탁상용 저소음 선풍기,119,13,1
2025-06-15,10,프리미엄 호텔 침구 세트,63,6,3
2025-06-16,1,감성 무드등,48,10,3
2025-06-16,2,메모리폼 경추 베개,81,9,0
2025-06-16,3,원목 핸들 머그컵,113,11,1
2025-06-16,4,무광 세라믹 접시 세트,70,12,1
2025-06-16,5,북유럽 패브릭 포스터,74,10,3
2025-06-16,6,대용량 디퓨저,73,7,1
2025-06-16,7,아로마 캔들 세트,71,6,1
2025-06-16,8,무선 미니 가습기,75,9,0
2025-06-16,9,탁상용 저소음 선풍기,69,12,0
2025-06-16,10,프리미엄 호텔 침구 세트,52,7,3
2025-06-17,1,감성 무드등,77,12,6
2025-06-17,2,메모리폼 경추 베개,83,14,2
2025-06-17,3,원목 핸들 머그컵,86,8,1
2025-06-17,4,무광 세라믹 접시 세트,101,7,1
2025-06-17,5,북유럽 패브릭 포스터,53,0,0
2025-06-17,6,대용량 디퓨저,84,9,2
2025-06-17,7,아로마 캔들 세트,66,6,1
2025-06-17,8,무선 미니 가습기,63,2,0
2025-06-17,9,탁상용 저소음 선풍기,88,5,0
2025-06-17,10,프리미엄 호텔 침구 세트,53,4,0
2025-06-18,1,감성 무드등,91,7,1
2025-06-18,2,메모리폼 경추 베개,77,16,3
2025-06-18,3,원목 핸들 머그컵,106,13,1
2025-06-18,4,무광 세라믹 접시 세트,90,10,2
2025-06-18,5,북유럽 패브릭 포스터,77,10,3
2025-06-18,6,대용량 디퓨저,80,7,1
2025-06-18,7,아로마 캔들 세트,78,9,2
2025-06-18,8,무선 미니 가습기,69,3,0
2025-06-18,9,탁상용 저소음 선풍기,104,12,1
2025-06-18,10,프리미엄 호텔 침구 세트,81,8,1
2025-06-19,1,감성 무드등,73,3,0
2025-06-19,2,메모리폼 경추 베개,58,8,2
2025-06-19,3,원목 핸들 머그컵,79,13,3
2025-06-19,4,무광 세라믹 접시 세트,67,5,2
2025-06-19,5,북유럽 패브릭 포스터,55,6,0
2025-06-19,6,대용량 디퓨저,94,15,4
2025-06-19,7,아로마 캔들 세트,65,8,2
2025-06-19,8,무선 미니 가습기,85,14,1
2025-06-19,9,탁상용 저소음 선풍기,86,9,1
2025-06-19,10,프리미엄 호텔 침구 세트,77,9,2
2025-06-20,1,감성 무드등,84,7,1
2025-06-20,2,메모리폼 경추 베개,81,12,2
2025-06-20,3,원목 핸들 머그컵,70,8,1
2025-06-20,4,무광 세라믹 접시 세트,82,10,3
2025-06-20,5,북유럽 패브릭 포스터,88,15,2
2025-06-20,6,대용량 디퓨저,116,20,4
2025-06-20,7,아로마 캔들 세트,91,11,2
2025-06-20,8,무선 미니 가습기,98,13,0
2025-06-20,9,탁상용 저소음 선풍기,75,17,1
2025-06-20,10,프리미엄 호텔 침구 세트,63,5,0
2025-06-21,1,감성 무드등,77,12,0
2025-06-21,2,메모리폼 경추 베개,58,4,2
2025-06-21,3,원목 핸들 머그컵,68,8,1
2025-06-21,4,무광 세라믹 접시 세트,92,12,2
2025-06-21,5,북유럽 패브릭 포스터,57,3,1
2025-06-21,6,대용량 디퓨저,84,13,3
2025-06-21,7,아로마 캔들 세트,99,15,4
2025-06-21,8,무선 미니 가습기,73,10,1
2025-06-21,9,탁상용 저소음 선풍기,96,11,1
2025-06-21,10,프리미엄 호텔 침구 세트,86,10,2
2025-06-22,1,감성 무드등,92,14,0
2025-06-22,2,메모리폼 경추 베개,91,13,2
2025-06-22,3,원목 핸들 머그컵,91,8,3
2025-06-22,4,무광 세라믹 접시 세트,65,8,0
2025-06-22,5,북유럽 패브릭 포스터,80,8,0
2025-06-22,6,대용량 디퓨저,90,16,3
2025-06-22,7,아로마 캔들 세트,94,13,3
2025-06-22,8,무선 미니 가습기,67,9,1
2025-06-22,9,탁상용 저소음 선풍기,114,12,1
2025-06-22,10,프리미엄 호텔 침구 세트,61,4,2
2025-06-23,1,감성 무드등,62,13,2
2025-06-23,2,메모리폼 경추 베개,91,11,0
2025-06-23,3,원목 핸들 머그컵,102,15,0
2025-06-23,4,무광 세라믹 접시 세트,90,13,1
2025-06-23,5,북유럽 패브릭 포스터,65,3,0
2025-06-23,6,대용량 디퓨저,83,14,3
2025-06-23,7,아로마 캔들 세트,82,12,3
2025-06-23,8,무선 미니 가습기,74,5,0
2025-06-23,9,탁상용 저소음 선풍기,87,10,1
2025-06-23,10,프리미엄 호텔 침구 세트,70,10,1
2025-06-24,1,감성 무드등,92,12,3
2025-06-24,2,메모리폼 경추 베개,79,8,1
2025-06-24,3,원목 핸들 머그컵,83,12,0
2025-06-24,4,무광 세라믹 접시 세트,93,12,2
2025-06-24,5,북유럽 패브릭 포스터,50,3,0
2025-06-24,6,대용량 디퓨저,97,13,2
2025-06-24,7,아로마 캔들 세트,83,10,2
2025-06-24,8,무선 미니 가습기,62,6,0
2025-06-24,9,탁상용 저소음 선풍기,98,15,1
2025-06-24,10,프리미엄 호텔 침구 세트,67,7,1
2025-06-25,1,감성 무드등,77,10,3
2025-06-25,2,메모리폼 경추 베개,64,7,0
2025-06-25,3,원목 핸들 머그컵,103,8,1
2025-06-25,4,무광 세라믹 접시 세트,72,8,2
2025-06-25,5,북유럽 패브릭 포스터,56,10,1
2025-06-25,6,대용량 디퓨저,94,11,3
2025-06-25,7,아로마 캔들 세트,61,9,2
2025-06-25,8,무선 미니 가습기,83,3,0
2025-06-25,9,탁상용 저소음 선풍기,97,11,1
2025-06-25,10,프리미엄 호텔 침구 세트,53,5,1
2025-06-26,1,감성 무드등,84,8,3
2025-06-26,2,메모리폼 경추 베개,77,13,0
2025-06-26,3,원목 핸들 머그컵,94,10,2
2025-06-26,4,무광 세라믹 접시 세트,60,9,2
2025-06-26,5,북유럽 패브릭 포스터,73,6,0
2025-06-26,6,대용량 디퓨저,68,10,2
2025-06-26,7,아로마 캔들 세트,61,10,2
2025-06-26,8,무선 미니 가습기,71,13,1
2025-06-26,9,탁상용 저소음 선풍기,88,14,1
2025-06-26,10,프리미엄 호텔 침구 세트,83,8,0
2025-06-27,1,감성 무드등,84,8,1
2025-06-27,2,메모리폼 경추 베개,66,10,1
2025-06-27,3,원목 핸들 머그컵,96,10,1
2025-06-27,4,무광 세라믹 접시 세트,92,8,0
2025-06-27,5,북유럽 패브릭 포스터,89,5,1
2025-06-27,6,대용량 디퓨저,80,11,2
2025-06-27,7,아로마 캔들 세트,88,11,2
2025-06-27,8,무선 미니 가습기,82,13,1
2025-06-27,9,탁상용 저소음 선풍기,95,15,1
2025-06-27,10,프리미엄 호텔 침구 세트,66,0,0
2025-06-28,1,감성 무드등,96,15,2
2025-06-28,2,메모리폼 경추 베개,105,10,1
2025-06-28,3,원목 핸들 머그컵,95,8,1
2025-06-28,4,무광 세라믹 접시 세트,100,11,4
2025-06-28,5,북유럽 패브릭 포스터,82,10,1
2025-06-28,6,대용량 디퓨저,99,7,2
2025-06-28,7,아로마 캔들 세트,76,14,4
2025-06-28,8,무선 미니 가습기,76,12,1
2025-06-28,9,탁상용 저소음 선풍기,126,25,2
2025-06-28,10,프리미엄 호텔 침구 세트,82,10,1
2025-06-29,1,감성 무드등,96,10,2
2025-06-29,2,메모리폼 경추 베개,66,4,0
2025-06-29,3,원목 핸들 머그컵,83,9,3
2025-06-29,4,무광 세라믹 접시 세트,84,6,0
2025-06-29,5,북유럽 패브릭 포스터,80,9,1
2025-06-29,6,대용량 디퓨저,79,12,3
2025-06-29,7,아로마 캔들 세트,75,9,2
2025-06-29,8,무선 미니 가습기,92,7,1
2025-06-29,9,탁상용 저소음 선풍기,80,12,1
2025-06-29,10,프리미엄 호텔 침구 세트,64,7,0
2025-06-30,1,감성 무드등,69,10,1
2025-06-30,2,메모리폼 경추 베개,58,7,1
2025-06-30,3,원목 핸들 머그컵,97,15,1
2025-06-30,4,무광 세라믹 접시 세트,100,14,4
2025-06-30,5,북유럽 패브릭 포스터,64,5,0
2025-06-30,6,대용량 디퓨저,80,9,2
2025-06-30,7,아로마 캔들 세트,75,8,2
2025-06-30,8,무선 미니 가습기,48,7,1
2025-06-30,9,탁상용 저소음 선풍기,82,7,1
2025-06-30,10,프리미엄 호텔 침구 세트,60,8,0
2025-07-01,1,감성 무드등,91,13,2
2025-07-01,2,메모리폼 경추 베개,72,14,3
2025-07-01,3,원목 핸들 머그컵,117,13,3
2025-07-01,4,무광 세라믹 접시 세트,79,11,3
2025-07-01,5,북유럽 패브릭 포스터,59,7,0
2025-07-01,6,대용량 디퓨저,99,6,2
2025-07-01,7,아로마 캔들 세트,70,9,2
2025-07-01,8,무선 미니 가습기,71,14,1
2025-07-01,9,탁상용 저소음 선풍기,79,7,0
2025-07-01,10,프리미엄 호텔 침구 세트,65,9,2
2025-07-02,1,감성 무드등,59,8,4
2025-07-02,2,메모리폼 경추 베개,76,6,1
2025-07-02,3,원목 핸들 머그컵,93,11,2
2025-07-02,4,무광 세라믹 접시 세트,94,14,2
2025-07-02,5,북유럽 패브릭 포스터,67,8,1
2025-07-02,6,대용량 디퓨저,83,7,2
2025-07-02,7,아로마 캔들 세트,78,12,3
2025-07-02,8,무선 미니 가습기,60,2,0
2025-07-02,9,탁상용 저소음 선풍기,87,11,1
2025-07-02,10,프리미엄 호텔 침구 세트,62,6,1
2025-07-03,1,감성 무드등,65,5,2
2025-07-03,2,메모리폼 경추 베개,94,13,4
2025-07-03,3,원목 핸들 머그컵,102,13,3
2025-07-03,4,무광 세라믹 접시 세트,93,10,0
2025-07-03,5,북유럽 패브릭 포스터,69,7,0
2025-07-03,6,대용량 디퓨저,91,17,3
2025-07-03,7,아로마 캔들 세트,97,9,2
2025-07-03,8,무선 미니 가습기,73,4,0
2025-07-03,9,탁상용 저소음 선풍기,104,11,1
2025-07-03,10,프리미엄 호텔 침구 세트,51,3,0
2025-07-04,1,감성 무드등,82,8,1
2025-07-04,2,메모리폼 경추 베개,76,7,2
2025-07-04,3,원목 핸들 머그컵,99,11,1
2025-07-04,4,무광 세라믹 접시 세트,67,3,0
2025-07-04,5,북유럽 패브릭 포스터,77,13,1
2025-07-04,6,대용량 디퓨저,71,14,3
2025-07-04,7,아로마 캔들 세트,87,7,2
2025-07-04,8,무선 미니 가습기,90,11,0
2025-07-04,9,탁상용 저소음 선풍기,115,13,0
2025-07-04,10,프리미엄 호텔 침구 세트,77,8,1
2025-07-05,1,감성 무드등,102,18,2
2025-07-05,2,메모리폼 경추 베개,87,13,2
2025-07-05,3,원목 핸들 머그컵,70,8,3
2025-07-05,4,무광 세라믹 접시 세트,89,9,1
2025-07-05,5,북유럽 패브릭 포스터,62,8,1
2025-07-05,6,대용량 디퓨저,78,11,3
2025-07-05,7,아로마 캔들 세트,77,9,2
2025-07-05,8,무선 미니 가습기,92,13,1
2025-07-05,9,탁상용 저소음 선풍기,117,12,0
2025-07-05,10,프리미엄 호텔 침구 세트,79,10,0
2025-07-06,1,감성 무드등,98,15,0
2025-07-06,2,메모리폼 경추 베개,85,15,4
2025-07-06,3,원목 핸들 머그컵,61,5,1
2025-07-06,4,무광 세라믹 접시 세트,77,6,0
2025-07-06,5,북유럽 패브릭 포스터,76,11,0
2025-07-06,6,대용량 디퓨저,67,4,1
2025-07-06,7,아로마 캔들 세트,102,10,3
2025-07-06,8,무선 미니 가습기,91,12,1
2025-07-06,9,탁상용 저소음 선풍기,137,16,1
2025-07-06,10,프리미엄 호텔 침구 세트,74,16,0
2025-07-07,1,감성 무드등,88,5,1
2025-07-07,2,메모리폼 경추 베개,66,4,0
2025-07-07,3,원목 핸들 머그컵,83,2,0
2025-07-07,4,무광 세라믹 접시 세트,79,9,4
2025-07-07,5,북유럽 패브릭 포스터,60,7,1
2025-07-07,6,대용량 디퓨저,85,5,1
2025-07-07,7,아로마 캔들 세트,85,14,3
2025-07-07,8,무선 미니 가습기,84,11,1
2025-07-07,9,탁상용 저소음 선풍기,96,10,1
2025-07-07,10,프리미엄 호텔 침구 세트,79,5,1
2025-07-08,1,감성 무드등,71,9,1
2025-07-08,2,메모리폼 경추 베개,79,11,2
2025-07-08,3,원목 핸들 머그컵,85,9,3
2025-07-08,4,무광 세라믹 접시 세트,65,9,1
2025-07-08,5,북유럽 패브릭 포스터,67,9,2
2025-07-08,6,대용량 디퓨저,93,10,2
2025-07-08,7,아로마 캔들 세트,63,3,1
2025-07-08,8,무선 미니 가습기,61,11,1
2025-07-08,9,탁상용 저소음 선풍기,105,9,0
